ticker,market,name,theme,asset_type,probe_price,core_price,strong_price,currency,basis_type,basis_reason,locked,status,last_review_date,next_review_date,review_note
AVAV,US,AeroVironment,防衛ドローン,stock,150.0,130.0,110.0,USD,初期基準案_v1.0,防衛ドローン本命候補。高成長・高ボラのため押し目幅を広めに設定。,True,locked_v1,2026-06-27,2026-07-01,
AXON,US,Axon Enterprise,公共安全AI・防衛,stock,430.0,385.0,340.0,USD,分析レビュー修正案_v1.1,公共安全AI/防衛の質が高く、完全な暴落待ちにしすぎると機会損失が大きい。高品質プレミアムを一部許容。,True,proposed_v1_1,2026-06-27,2026-07-01,
AUR,US,Aurora Innovation,自動運転・物流,stock,5.0,4.0,3.0,USD,分析レビュー修正案_v1.1,自動運転物流は将来性が大きい一方で赤字・実装リスクが高い。打診を少し深くする。,True,proposed_v1_1,2026-06-27,2026-07-01,
TMDX,US,TransMedics,移植医療,stock,100.0,85.0,70.0,USD,初期基準案_v1.0,移植医療成長株。決算変動が大きいため段階買い。,True,locked_v1,2026-06-27,2026-07-01,
NOW,US,ServiceNow,業務AI・SaaS,stock,90.0,80.0,70.0,USD,初期基準案_v1.0,分割調整価格前提。分割/価格桁は要ヘルスチェック。 / v1.0基準は分割調整/価格スケール確認が前提。NOWは価格桁の異常値検出を必ず通す。,True,locked_v1,2026-06-27,2026-07-01,
RDW,US,Redwire,宇宙インフラ,stock,16.0,13.0,10.0,USD,既存基準移植,既存基準：打診16以下、本命13以下。宇宙インフラ高ボラ。,True,locked_v1,2026-06-27,2026-07-01,
TRMB,US,Trimble,測位・建設DX,stock,52.0,45.0,39.0,USD,既存基準移植,既存基準：強く買いたい38〜40。,True,locked_v1,2026-06-27,2026-07-01,
VEEV,US,Veeva Systems,ライフサイエンスSaaS,stock,165.0,145.0,127.5,USD,既存基準移植,既存基準：強く買いたい125〜130。,True,locked_v1,2026-06-27,2026-07-01,
PYPL,US,PayPal,決済・フィンテック,stock,45.0,40.0,35.0,USD,既存基準移植,2026/06/12側の既存基準を優先。低期待バリュー寄り。,True,locked_v1,2026-06-27,2026-07-01,
TEM,US,Tempus AI,AI医療・診断,stock,42.0,34.0,26.0,USD,分析レビュー修正案_v1.1,AI医療の将来性は高いが、IPO後の期待先行と業績検証不足を考え、本命を深める。,True,proposed_v1_1,2026-06-27,2026-07-01,
FICO,US,Fair Isaac,信用スコア・分析,stock,1250.0,1100.0,950.0,USD,分析レビュー修正案_v1.1,非常に良い企業だが、バリュエーションが高い。平均目標株価に近い水準で買うより、明確なPER圧縮時に限定。,True,proposed_v1_1,2026-06-27,2026-07-01,
AAOI,US,Applied Optoelectronics,光通信・CPO周辺,stock,55.0,42.0,32.0,USD,分析レビュー修正案_v1.1,光通信/CPOはテーマ性が強いが、AAOIは景気循環・需給・期待剥落の影響が大きい。v1.0は早すぎる。,True,proposed_v1_1,2026-06-27,2026-07-01,
OUST,US,Ouster,LiDAR・ロボティクス,stock,20.0,15.0,11.0,USD,分析レビュー修正案_v1.1,LiDARは採用期待と需給で大きく振れる。黒字定着前は安全域を広く取る。,True,proposed_v1_1,2026-06-27,2026-07-01,
APH,US,Amphenol,コネクタ・AIインフラ,stock,85.0,75.0,65.0,USD,初期基準案_v1.0,AIインフラ部材の高品質枠。,True,locked_v1,2026-06-27,2026-07-01,
ASPI,US,ASP Isotopes,核燃料・同位体,stock,5.5,4.2,3.2,USD,分析レビュー修正案_v1.1,同位体・核燃料は夢があるが材料株。ニュースで跳ねる一方、失望時の下げも深い。,True,proposed_v1_1,2026-06-27,2026-07-01,
NBIS,US,Nebius,AIクラウド,stock,65.0,52.0,40.0,USD,分析レビュー修正案_v1.1,AIクラウドは大テーマだが、期待先行・資金調達・競争リスクがある。v1.0はやや早い。,True,proposed_v1_1,2026-06-27,2026-07-01,
EWY,US,iShares MSCI South Korea ETF,韓国ETF・半導体,etf,70.0,65.0,60.0,USD,初期基準案_v1.0,韓国半導体ETF。ETFのため個別株より浅め。,True,locked_v1,2026-06-27,2026-07-01,
ISRG,US,Intuitive Surgical,医療ロボット,stock,480.0,430.0,380.0,USD,分析レビュー修正案_v1.1,医療ロボットの質・収益性・参入障壁を考えると、あまり深すぎる基準では拾えない可能性がある。,True,proposed_v1_1,2026-06-27,2026-07-01,
SPGI,US,S&P Global,指数・格付け,stock,450.0,410.0,370.0,USD,初期基準案_v1.0,指数・格付け高品質。,True,locked_v1,2026-06-27,2026-07-01,
MELI,US,MercadoLibre,中南米EC・決済,stock,1900.0,1700.0,1500.0,USD,初期基準案_v1.0,中南米EC。高品質だが為替/金利感応。,True,locked_v1,2026-06-27,2026-07-01,
TMO,US,Thermo Fisher,ライフサイエンス,stock,460.0,420.0,380.0,USD,初期基準案_v1.0,ライフサイエンス高品質。,True,locked_v1,2026-06-27,2026-07-01,
META,US,Meta Platforms,AI・広告・SNS,stock,620.0,560.0,500.0,USD,初期基準案_v1.0,AI大型株。大型のため過度に深くしすぎない。,True,locked_v1,2026-06-27,2026-07-01,
IONQ,US,IonQ,量子コンピュータ,stock,32.0,25.0,18.0,USD,分析レビュー修正案_v1.1,量子は将来性が大きいが、収益化まで遠く、テーマ相場の反動が大きい。,True,proposed_v1_1,2026-06-27,2026-07-01,
RGTI,US,Rigetti,量子コンピュータ,stock,10.0,7.0,5.0,USD,分析レビュー修正案_v1.1,量子の中でもより投機色が強い。買い場は深く、サイズも小さくすべき。,True,proposed_v1_1,2026-06-27,2026-07-01,
SDGR,US,Schrodinger,AI創薬,stock,15.0,12.0,10.0,USD,既存基準移植,既存基準：打診15以下、本命12以下。AI創薬。,True,locked_v1,2026-06-27,2026-07-01,
RXRX,US,Recursion,AI創薬,stock,3.5,2.8,2.2,USD,既存基準移植,既存基準：打診3.5以下、本命2.8以下。AI創薬高ボラ。,True,locked_v1,2026-06-27,2026-07-01,
