ticker,market,name,theme,probe_price,core_price,strong_price,scale_audit_status,severity,action,comment
AVAV,US,AeroVironment,防衛ドローン,150.0,130.0,110.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
AXON,US,Axon Enterprise,公共安全AI・防衛,430.0,385.0,340.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
AUR,US,Aurora Innovation,自動運転・物流,5.0,4.0,3.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
TMDX,US,TransMedics,移植医療,100.0,85.0,70.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
NOW,US,ServiceNow,業務AI・SaaS,90.0,80.0,70.0,SPLIT_SCALE_OK,medium,維持。ただしヘルスチェック対象,2025年に5-for-1株式分割が発表されたため、90/80/70の価格帯は分割後スケールとして大きな矛盾なし。ただし日々の価格桁チェック対象。
RDW,US,Redwire,宇宙インフラ,16.0,13.0,10.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
TRMB,US,Trimble,測位・建設DX,52.0,45.0,39.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
VEEV,US,Veeva Systems,ライフサイエンスSaaS,165.0,145.0,127.5,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
PYPL,US,PayPal,決済・フィンテック,45.0,40.0,35.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
TEM,US,Tempus AI,AI医療・診断,42.0,34.0,26.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
FICO,US,Fair Isaac,信用スコア・分析,1250.0,1100.0,950.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
AAOI,US,Applied Optoelectronics,光通信・CPO周辺,55.0,42.0,32.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
OUST,US,Ouster,LiDAR・ロボティクス,20.0,15.0,11.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
APH,US,Amphenol,コネクタ・AIインフラ,85.0,75.0,65.0,SPLIT_SCALE_OK,low,維持,分割後スケールとして大きな矛盾なし。
ASPI,US,ASP Isotopes,核燃料・同位体,5.5,4.2,3.2,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
NBIS,US,Nebius,AIクラウド,65.0,52.0,40.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
EWY,US,iShares MSCI South Korea ETF,韓国ETF・半導体,70.0,65.0,60.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
ISRG,US,Intuitive Surgical,医療ロボット,480.0,430.0,380.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
